team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Slovakia National Team,Slovakia,2024,Slovakia,10,5,5,0,7,3,4,1,1,0,2,1,1,2.2,2,2.4,2,0,0,4,17,8,9,25,12,13,9,8,3,5,6,3,53,50,56,113,150,90,5,3,2,4,1,3,2,2,0,5,2,3,73,37,36,17,6,11,55,56,54,105,55,50,48,27,21,57,28,29,118,58,60,9,7,2,5,2,3,4,5,-1,4,3,1,4,1,3,2,1,1,1.6,2,1.2,2.5,2.4,2.6,1.7,1.8,1.6,0.8,0.6,1,1.4,1.8,1,0.9,1.4,0.4,0.5,0.4,0.6,9,6,5,2,2,1,4,3,2,1,1,1,5,3,3,1,1,0,1,4,5,8,8,9,1,2,3,4,4,4,0,2,2,4,4,5,90,60,50,20,20,10,80,60,40,20,20,20,100,60,60,20,20,0,10,40,50,80,80,90,20,40,60,80,80,80,0,40,40,80,80,100,7,5,2,4,3,2,3,2,0,70,50,20,80,60,40,60,40,0,70,60,80,16,50,60,40,40,20,60,20,40,0,50,40,60,6,3,3,60,60,60,5,2,3,50,40,60,2,1,1,20,20,20,40,60,20,40,20,60,20,20,20,7.30,7.40,7.20,1.7,1.2,2.20,100,90,80,50,50,30,30,20,1.37,1.46,1.28,1.11,0.83,1.39,80,3,1,2,2,2,2,2,3,0,0,2,1,0,3,0,0,2,0,10,20,0,20,20,20,10
France National Team,France,2024,France,8,4,4,0,7,4,3,1,0,1,0,0,0,2.75,3,2.5,1,0,0,3,29,3,26,32,21,11,21,8,0,3,21,5,25,17,45,237,0,120,6,4,2,2,0,2,0,0,0,8,4,4,45,20,25,12,6,6,63,60,66,135,76,59,74,42,32,61,34,27,78,41,37,15,11,4,0,0,0,15,11,4,6,3,3,2,1,1,0,0,0,2.5,2.5,2.5,4,5.25,2.75,3.63,5.25,2,0.38,0,0.75,1.88,2.75,1,1.88,2.75,1,0,0,0,8,6,5,3,1,1,4,3,2,2,1,1,4,3,3,1,0,0,0,2,3,5,7,7,0,1,2,2,3,3,0,1,1,3,4,4,100,75,63,38,13,13,100,75,50,50,25,25,100,75,75,25,0,0,0,25,37,62,87,87,0,25,50,50,75,75,0,25,25,75,100,100,6,3,2,3,2,2,3,1,0,75,38,25,75,50,50,75,25,0,88,100,75,73,75,100,50,25,0,50,0,0,0,100,100,100,8,4,4,100,100,100,2,1,1,25,25,25,0,0,0,0,0,0,75,75,75,25,25,25,0,0,0,5.63,5.00,6.25,1.5,1.5,1.50,88,63,38,38,25,13,13,0,2.57,2.79,2.35,0.73,0.70,0.77,175,6,2,2,3,4,2,2,4,4,0,0,0,0,0,1,1,0,1,13,0,25,0,0,0,0
Croatia National Team,Croatia,2024,Croatia,8,4,4,0,5,2,3,1,1,0,2,1,1,2,1.75,2.25,2,0,0,19,13,4,9,17,9,8,7,6,2,2,5,4,55,51,60,180,180,180,5,2,3,2,1,1,1,1,0,6,3,3,47,30,17,11,5,6,67,69,65,120,71,49,69,43,26,51,28,23,68,33,35,10,5,5,1,1,0,9,4,5,6,3,3,1,0,1,1,1,0,2.38,2.25,2.5,2.13,2.25,2,1.63,1.75,1.5,0.5,0.5,0.5,1.38,1.5,1.25,1.25,1.25,1.25,0.13,0.25,0,8,5,2,1,1,0,4,2,1,1,1,0,4,3,1,0,0,0,0,3,6,7,7,8,0,2,3,3,3,4,0,1,3,4,4,4,100,63,25,13,13,0,100,50,25,25,25,0,100,75,25,0,0,0,0,37,75,87,87,100,0,50,75,75,75,100,0,25,75,100,100,100,7,3,1,4,1,1,3,2,0,88,38,13,100,25,25,75,50,0,63,50,75,0,63,50,75,25,25,25,13,25,0,75,75,75,7,3,4,88,75,100,2,1,1,25,25,25,0,0,0,0,0,0,75,75,75,13,0,25,13,25,0,5.88,7.50,4.25,1.38,1.25,1.50,88,75,63,50,38,25,25,13,2.23,2.71,1.75,0.98,0.90,1.07,38,2,4,1,0,3,0,1,2,0,0,0,1,0,1,1,0,0,1,13,25,0,25,25,25,0
Malta National Team,Malta,2024,Malta,8,4,4,0,0,0,0,0,0,0,8,4,4,0,0,0,5,0,0,51,2,20,-18,22,12,10,1,1,11,9,-10,-8,360,360,360,36,33,40,0,0,0,2,1,1,6,3,3,1,1,0,15,6,9,16,5,11,36,38,34,38,25,13,17,11,6,21,14,7,96,45,51,1,1,0,12,9,3,-11,-8,-3,0,0,0,2,0,2,6,4,2,0.25,0,0.5,2.75,3,2.5,0.25,0.25,0.25,2.5,2.75,2.25,1.63,2.5,0.75,0.13,0.25,0,1.5,2.25,0.75,8,7,4,3,0,0,4,4,2,2,0,0,4,3,2,1,0,0,0,1,4,5,8,8,0,0,2,2,4,4,0,1,2,3,4,4,100,88,50,38,0,0,100,100,50,50,0,0,100,75,50,25,0,0,0,12,50,62,100,100,0,0,50,50,100,100,0,25,50,75,100,100,6,5,2,4,4,2,2,1,0,75,63,25,100,100,50,50,25,0,0,0,0,-5,0,0,0,25,25,25,75,75,75,13,25,0,2,0,2,25,0,50,7,3,4,88,75,100,1,1,0,13,25,0,0,0,0,25,0,50,75,100,50,1.88,1.50,2.25,2,1.25,2.75,63,50,38,25,25,13,13,0,0.50,0.62,0.37,1.70,1.68,1.73,38,0,1,0,0,0,0,0,0,1,3,1,3,2,3,0,2,3,3,0,0,0,100,100,100,0
Denmark National Team,Denmark,2024,Denmark,10,5,5,0,7,5,2,1,0,1,2,0,2,2.2,3,1.4,2,0,0,2,19,10,9,29,16,13,13,6,3,7,10,-1,47,35,75,90,150,64,3,2,1,6,3,3,1,0,1,8,5,3,82,49,33,14,5,9,70,68,71,130,75,55,65,38,27,65,37,28,85,43,42,11,7,4,2,1,1,9,6,3,5,3,2,5,2,3,0,0,0,2,2.2,1.8,2.9,3.2,2.6,1.9,2.6,1.2,1,0.6,1.4,1.3,1.6,1,1.1,1.4,0.8,0.2,0.2,0.2,10,8,6,4,1,0,5,4,4,3,0,0,5,4,2,1,1,0,0,2,4,6,9,10,0,1,1,2,5,5,0,1,3,4,4,5,100,80,60,40,10,0,100,80,80,60,0,0,100,80,40,20,20,0,0,20,40,60,90,100,0,20,20,40,100,100,0,20,60,80,80,100,7,5,1,4,3,1,3,2,0,70,50,10,80,60,20,60,40,0,70,100,40,39,30,40,20,60,60,60,10,0,20,80,100,60,8,4,4,80,80,80,3,1,2,30,20,40,2,1,1,20,20,20,50,60,40,50,40,60,0,0,0,8.20,9.80,6.60,1.4,1,1.80,80,70,70,50,40,40,10,10,1.90,2.14,1.64,0.76,0.62,0.89,80,0,0,5,3,5,1,1,0,4,0,0,2,0,0,3,1,1,3,10,0,20,20,0,40,10
Turkey National Team,Turkey,2024,Turkey,8,4,4,0,5,2,3,2,1,1,1,1,0,2.13,1.75,2.5,1,0,0,16,14,7,7,21,10,11,7,7,3,4,4,3,51,51,51,102,120,90,3,2,1,4,1,3,1,1,0,4,2,2,42,30,12,27,11,16,60,64,57,107,62,45,53,30,23,54,32,22,91,42,49,3,0,3,4,2,2,-1,-2,1,2,0,2,4,3,1,2,1,1,1.25,0.75,1.75,2.63,2.5,2.75,1.75,1.75,1.75,0.88,0.75,1,0.88,0.5,1.25,0.38,0,0.75,0.5,0.5,0.5,8,7,3,2,1,0,4,4,1,1,0,0,4,3,2,1,1,0,0,1,5,6,7,8,0,0,3,3,4,4,0,1,2,3,3,4,100,88,38,25,13,0,100,100,25,25,0,0,100,75,50,25,25,0,0,12,62,75,87,100,0,0,75,75,100,100,0,25,50,75,75,100,5,2,0,1,1,0,4,1,0,63,25,0,25,25,0,100,25,0,63,50,75,8,38,50,25,50,25,75,13,25,0,50,50,50,5,3,2,63,75,50,5,4,1,63,100,25,1,0,1,13,0,25,25,0,50,50,75,25,25,25,25,5.25,7.50,3.00,3.38,2.75,4.00,63,63,63,50,50,38,25,13,1.79,2.08,1.51,1.22,0.96,1.49,50,0,0,2,1,0,1,3,2,5,2,1,0,0,2,1,0,0,1,25,25,25,13,25,0,0
Bosnia-Herzegovina National Team,Bosnia-Herzegovina,2024,Bosnia and Herzegovina,10,5,5,0,3,2,1,0,0,0,7,3,4,0.9,1.2,0.6,5,0,0,36,9,20,-11,29,16,13,6,3,10,10,-4,-7,100,75,150,45,45,45,2,1,1,3,2,1,5,2,3,4,3,1,47,24,23,21,11,10,53,51,54,93,36,57,49,20,29,44,16,28,128,61,67,6,4,2,12,7,5,-6,-3,-3,3,2,1,2,1,1,5,2,3,1.1,1.4,0.8,2.9,3.2,2.6,0.9,1.2,0.6,2,2,2,1.8,2.2,1.4,0.6,0.8,0.4,1.2,1.4,1,10,9,6,2,2,0,5,5,4,1,1,0,5,4,2,1,1,0,0,1,4,8,8,10,0,0,1,4,4,5,0,1,3,4,4,5,100,90,60,20,20,0,100,100,80,20,20,0,100,80,40,20,20,0,0,10,40,80,80,100,0,0,20,80,80,100,0,20,60,80,80,100,8,6,2,4,3,2,4,3,0,80,60,20,80,60,40,80,60,0,30,40,20,0,20,20,20,30,40,20,50,40,60,40,60,20,4,2,2,40,40,40,7,3,4,70,60,80,1,1,0,10,20,0,30,40,20,20,20,20,50,40,60,4.70,4.80,4.60,2.1,2.2,2.00,60,60,50,40,30,20,10,10,1.24,1.00,1.47,1.07,1.08,1.06,50,1,3,0,1,2,0,1,0,1,3,2,3,2,2,2,0,3,3,0,0,0,70,60,80,0
Lithuania National Team,Lithuania,2024,Lithuania,8,4,4,0,1,0,1,3,3,0,4,1,3,0.75,0.75,0.75,4,0,0,42,8,14,-6,22,14,8,6,2,8,6,-2,-4,90,60,180,51,45,60,1,0,1,4,4,0,3,0,3,4,3,1,20,7,13,19,11,8,42,39,45,61,31,30,30,16,14,31,15,16,106,58,48,5,4,1,7,4,3,-2,0,-2,2,1,1,2,2,0,4,1,3,1,1.25,0.75,2.75,3.5,2,1,1.5,0.5,1.75,2,1.5,1.5,2,1,0.63,1,0.25,0.88,1,0.75,8,8,3,3,0,0,4,4,3,3,0,0,4,4,0,0,0,0,0,0,5,5,8,8,0,0,1,1,4,4,0,0,4,4,4,4,100,100,38,38,0,0,100,100,75,75,0,0,100,100,0,0,0,0,0,0,62,62,100,100,0,0,25,25,100,100,0,0,100,100,100,100,7,3,1,3,3,1,4,0,0,88,38,13,75,75,25,100,0,0,13,0,25,18,13,0,25,50,100,0,38,0,75,50,75,25,3,2,1,38,50,25,4,1,3,50,25,75,2,2,0,25,50,0,25,25,25,25,50,0,50,25,75,2.50,1.75,3.25,2.38,2.75,2.00,75,63,50,38,25,13,13,13,0.85,0.88,0.81,1.91,1.88,1.93,25,0,2,0,1,2,1,0,1,1,1,1,2,2,2,1,1,1,3,38,75,0,50,25,75,13
Scotland National Team,Scotland,2024,Scotland,8,4,4,0,5,3,2,2,1,1,1,0,1,2.13,2.5,1.75,2,0,0,15,17,8,9,25,13,12,10,7,3,5,7,2,42,36,51,90,120,72,4,3,1,3,1,2,1,0,1,4,3,1,35,25,10,19,9,10,47,47,47,68,35,33,35,18,17,33,17,16,102,56,46,8,5,3,3,2,1,5,3,2,4,3,1,3,1,2,1,0,1,1.88,2.5,1.25,3.13,3.25,3,2.13,2.5,1.75,1,0.75,1.25,1.38,1.75,1,1,1.25,0.75,0.38,0.5,0.25,8,8,5,2,1,1,4,4,2,1,1,1,4,4,3,1,0,0,0,0,3,6,7,7,0,0,2,3,3,3,0,0,1,3,4,4,100,100,63,25,13,13,100,100,50,25,25,25,100,100,75,25,0,0,0,0,37,75,87,87,0,0,50,75,75,75,0,0,25,75,100,100,6,2,2,4,1,1,2,1,1,75,25,25,100,25,25,50,25,25,63,75,50,21,50,75,25,38,25,50,13,0,25,50,75,25,6,3,3,75,75,75,3,0,3,38,0,75,1,1,0,13,25,0,50,75,25,38,25,50,13,0,25,4.38,6.25,2.50,2.38,2.25,2.50,75,75,25,13,0,0,0,0,1.16,1.24,1.08,1.14,1.11,1.16,63,3,2,2,1,2,2,0,0,5,1,2,0,0,0,1,1,1,2,25,25,25,13,0,25,0
Faroe Islands National Team,Faroe Islands,2024,Faroe Islands,8,4,4,0,0,0,0,2,0,2,6,4,2,0.25,0,0.5,5,0,0,47,2,13,-11,15,10,5,1,1,9,4,-8,-3,360,360,360,55,40,90,1,0,1,2,1,1,6,3,3,1,0,1,23,17,6,20,7,13,41,48,34,35,16,19,10,3,7,25,13,12,105,46,59,2,1,1,4,4,0,-2,-3,1,1,0,1,5,2,3,2,2,0,1,0.5,1.5,1.88,2.5,1.25,0.25,0.25,0.25,1.63,2.25,1,0.75,1.25,0.25,0.25,0.25,0.25,0.5,1,0,7,5,2,1,0,0,4,3,2,1,0,0,3,2,0,0,0,0,1,3,6,7,8,8,0,1,2,3,4,4,1,2,4,4,4,4,88,63,25,13,0,0,100,75,50,25,0,0,75,50,0,0,0,0,12,37,75,87,100,100,0,25,50,75,100,100,25,50,100,100,100,100,4,2,0,3,2,0,1,0,0,50,25,0,75,50,0,25,0,0,0,0,0,-19,13,0,25,25,25,25,75,75,75,13,0,25,5,1,4,63,25,100,6,3,3,75,75,75,1,1,0,13,25,0,13,0,25,63,50,75,25,50,0,2.88,4.25,1.50,2.5,1.75,3.25,75,63,50,38,38,13,0,0,0.50,0.48,0.53,1.61,1.50,1.72,25,0,0,1,0,1,0,0,0,0,1,2,0,0,1,2,1,3,3,25,0,50,75,100,50,0
Kazakhstan National Team,Kazakhstan,2024,Kazakhstan,10,5,5,0,6,3,3,0,0,0,4,2,2,1.8,1.8,1.8,4,0,0,14,16,12,4,28,14,14,8,8,6,6,2,2,56,56,56,75,75,75,3,1,2,6,3,3,1,1,0,5,3,2,40,21,19,30,15,15,45,45,45,90,45,45,51,29,22,39,16,23,144,82,62,4,3,1,6,2,4,-2,1,-3,4,3,1,2,1,1,4,1,3,1.4,2,0.8,2.8,2.8,2.8,1.6,1.6,1.6,1.2,1.2,1.2,1,1,1,0.4,0.6,0.2,0.6,0.4,0.8,10,7,7,3,1,0,5,3,3,2,1,0,5,4,4,1,0,0,0,3,3,7,9,10,0,2,2,3,4,5,0,1,1,4,5,5,100,70,70,30,10,0,100,60,60,40,20,0,100,80,80,20,0,0,0,30,30,70,90,100,0,40,40,60,80,100,0,20,20,80,100,100,8,2,0,4,1,0,4,1,0,80,20,0,80,20,0,80,20,0,60,60,60,0,30,20,40,60,60,60,10,20,0,50,60,40,6,4,2,60,80,40,6,2,4,60,40,80,0,0,0,0,0,0,40,60,20,20,20,20,40,20,60,4.00,4.20,3.80,3,3,3.00,70,50,40,40,30,20,10,0,1.17,1.22,1.12,1.34,1.35,1.34,50,0,1,2,1,1,2,1,2,6,0,0,2,2,4,1,0,2,1,0,0,0,40,40,40,0
